prefecture,election_name,election_date,vote_date,vote_rate,constituency_candidate_number,announce_date,last_vote_rate,reason_point,winner_name,url,winner_name_kana,winner_age_sex,winner_info,winner_job,affiliation,winner_votes
群馬県,"
                  邑楽町長選挙
                                    

                                    （2019年12月01日投票）
                                    
","
                                    （2019年12月01日投票）
",2019年12月01日,"
                                                    51.91%
                            ( ↓ )
",1 /  2,2019年11月26日,"56.18％
                                                    
選挙公報

","
                      任期満了
                      
","
																金子 正一カネコ マサカズ
",https://go2senkyo.com/seijika/2335,カネコ マサカズ,76歳  (男),現職,町長,無所属,"
7,648 票
"
埼玉県,"
                  上尾市議会議員選挙
                                    

                                    （2019年12月01日投票）
                                    
","
                                    （2019年12月01日投票）
",2019年12月01日,"
                                                    35.42%
                            ( ↓ )
",30 /  41,2019年11月24日,"36.8％
                                                    
選挙公報

","
                      任期満了
                      
","
																尾花 あきひとオバナ アキヒト
",https://go2senkyo.com/seijika/162507,オバナ アキヒト,36歳  (男),現職,会社役員,無所属,"
3,036 票
"
埼玉県,"
                  朝霞市議会議員選挙
                                    

                                    （2019年12月01日投票）
                                    
","
                                    （2019年12月01日投票）
",2019年12月01日,"
                                                    31.43%
                            ( ↓ )
",24 /  26,2019年11月24日,"34.09％
                                                    
選挙公報

","
                      任期満了
                      
","
																ほんだ まきこホンダ マキコ
",https://go2senkyo.com/seijika/179564,ホンダ マキコ,46歳  (女),新人,無職,立憲民主党,"
2,632 票
"
茨城県,"
                  茨城町議会議員選挙
                                    

                                    （2019年12月01日投票）
                                    
","
                                    （2019年12月01日投票）
",2019年12月01日,"
                                                    無投票
                            
",16 /  16,2019年11月26日,"59.2％
","
                      任期満了
                      
","
																入野 富男イリノ トミオ
",https://go2senkyo.com/seijika/162491,イリノ トミオ,68歳  (男),現職,元団体役員,無所属,"
- 票
"
和歌山県,"
                  北山村議会議員選挙
                                    

                                    （2019年12月01日投票）
                                    
","
                                    （2019年12月01日投票）
",2019年12月01日,"
                                                    89.41%
                            ( ↓ )
",5 /  6,2019年11月26日,"90.84％
","
                      任期満了
                      
","
																藪本 英明ヤブモト ヒデアキ
",https://go2senkyo.com/seijika/179595,ヤブモト ヒデアキ,59歳  (男),新人,無職,無所属,"
114 票
"
東京都,"
                  小金井市長選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    40.89%
                            ( ↓ )
",1 /  4,2019年12月01日,"41.42％
                                                    
選挙公報

","
                      任期満了
                      
","
																西岡 真一郎ニシオカ シンイチロウ
",https://go2senkyo.com/seijika/77208,ニシオカ シンイチロウ,50歳  (男),現職,小金井市長,無所属,"
18,579 票
"
高知県,"
                  宿毛市長選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    58.1%
                            ( ↓ )
",1 /  2,2019年12月01日,"71.01％
","
                      任期満了
                      
","
																中平 とみひろナカヒラ トミヒロ
",https://go2senkyo.com/seijika/51153,ナカヒラ トミヒロ,51歳  (男),現職,市長,無所属,"
6,071 票
"
大分県,"
                  津久見市長選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    無投票
                            
",1 /  1,2019年12月01日,"62.62％
","
                      任期満了
                      
","
																川野 ゆきおカワノ ユキオ
",https://go2senkyo.com/seijika/162501,カワノ ユキオ,61歳  (男),現職,津久見市長,無所属,"
- 票
"
福島県,"
                  棚倉町議会議員選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    62.98%
                            ( ↓ )
",14 /  15,2019年12月03日,"70.83％
","
                                                  11,573人
                                                      
                              前回より -89人
                            

男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																大竹 もりえいオオタケ モリエイ
",https://go2senkyo.com/seijika/179606,オオタケ モリエイ,54歳  (男),新人,建築業,無所属,"
694 票
"
東京都,"
                  小金井市議会議員補欠選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    40.86%
                            ( ↓ )
",2 /  4,2019年12月01日,"41.41％
                                                    
選挙公報

","
                      その他
                      
","
																清水 がくシミズ ガク
",https://go2senkyo.com/seijika/179601,シミズ ガク,37歳  (男),新人,無職,自由民主党,"
15,239 票
"
茨城県,"
                  下妻市議会議員選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    56.99%
                            
",20 /  23,2019年12月01日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																はらべ 司ハラベ ツカサ
",https://go2senkyo.com/seijika/10638,ハラベ ツカサ,66歳  (男),現職,ベス塾代表,無所属,"
1,368 票
"
福岡県,"
                  広川町議会議員選挙
                                    

                                    （2019年12月08日投票）
                                    
","
                                    （2019年12月08日投票）
",2019年12月08日,"
                                                    59.14%
                            ( ↓ )
",13 /  17,2019年12月03日,"60.33％
","
                      任期満了
                      
","
																竹下 えいじタケシタ エイジ
",https://go2senkyo.com/seijika/178004,タケシタ エイジ,61歳  (男),新人,無職,無所属,"
1,263 票
"
福井県,"
                  福井市長選挙
                                    

                                    （2019年12月15日投票）
                                    
","
                                    （2019年12月15日投票）
",2019年12月15日,"
                                                    37.43%
                            ( ↓ )
",1 /  3,2019年12月08日,"38.83％
                                                    
選挙公報

","
                      任期満了
                      
","
																東村 新一ヒガシムラ シンイチ
",https://go2senkyo.com/seijika/125341,ヒガシムラ シンイチ,67歳  (男),現職,福井市長,無所属,"
40,362 票
"
鹿児島県,"
                  南九州市長選挙
                                    

                                    （2019年12月15日投票）
                                    
","
                                    （2019年12月15日投票）
",2019年12月15日,"
                                                    無投票
                            
",1 /  1,2019年12月08日,"69.95％
","
                      任期満了
                      
","
																ぬるき 弘幸ヌルキ ヒロユキ
",https://go2senkyo.com/seijika/27021,ヌルキ ヒロユキ,66歳  (男),現職,南九州市長,無所属,"
- 票
"
鹿児島県,"
                  南九州市議会議員選挙
                                    

                                    （2019年12月15日投票）
                                    
","
                                    （2019年12月15日投票）
",2019年12月15日,"
                                                    56.57%
                            ( ↓ )
",20 /  22,2019年12月08日,"69.95％
                                                    
選挙公報

","
                      任期満了
                      /最後の1議席を巡り得票数が同数だったため、公選法第95条の2項のくじにより、川畑 実道氏が当選となった
","
																上赤 ひでとカミアカ ヒデト
",https://go2senkyo.com/seijika/179621,カミアカ ヒデト,61歳  (男),新人,農業,無所属,"
1,413 票
"
徳島県,"
                  神山町議会議員選挙
                                    

                                    （2019年12月15日投票）
                                    
","
                                    （2019年12月15日投票）
",2019年12月15日,"
                                                    71.95%
                            
",8 /  13,2019年12月10日,"-％
","
                      任期満了
                      
","
																かわの 雅俊カワノ マサトシ
",https://go2senkyo.com/seijika/162575,カワノ マサトシ,60歳  (男),現職,農業,無所属,"
529 票
"
